Mmlu_vi: 1 acc_norm: 0/1=0.0000, predicted: 0, actual: 3
Mmlu_vi: 2 acc_norm: 0/2=0.0000, predicted: 1, actual: 2
Mmlu_vi: 3 acc_norm: 0/3=0.0000, predicted: 1, actual: 2
Mmlu_vi: 4 acc_norm: 1/4=0.2500, predicted: 2, actual: 2
Mmlu_vi: 5 acc_norm: 1/5=0.2000, predicted: 3, actual: 2
Mmlu_vi: 6 acc_norm: 2/6=0.3333, predicted: 3, actual: 3
Mmlu_vi: 7 acc_norm: 2/7=0.2857, predicted: 2, actual: 3
Mmlu_vi: 8 acc_norm: 2/8=0.2500, predicted: 0, actual: 3
Mmlu_vi: 9 acc_norm: 2/9=0.2222, predicted: 2, actual: 0
Mmlu_vi: 10 acc_norm: 2/10=0.2000, predicted: 1, actual: 3
Mmlu_vi: 11 acc_norm: 3/11=0.2727, predicted: 3, actual: 3
Mmlu_vi: 12 acc_norm: 3/12=0.2500, predicted: 1, actual: 0
Mmlu_vi: 13 acc_norm: 4/13=0.3077, predicted: 0, actual: 0
Mmlu_vi: 14 acc_norm: 4/14=0.2857, predicted: 1, actual: 2
Mmlu_vi: 15 acc_norm: 4/15=0.2667, predicted: 0, actual: 2
Mmlu_vi: 16 acc_norm: 4/16=0.2500, predicted: 2, actual: 0
Mmlu_vi: 17 acc_norm: 5/17=0.2941, predicted: 1, actual: 1
Mmlu_vi: 18 acc_norm: 5/18=0.2778, predicted: 1, actual: 2
Mmlu_vi: 19 acc_norm: 5/19=0.2632, predicted: 2, actual: 1
Mmlu_vi: 20 acc_norm: 5/20=0.2500, predicted: 1, actual: 0
Mmlu_vi: 21 acc_norm: 5/21=0.2381, predicted: 1, actual: 0
Mmlu_vi: 22 acc_norm: 5/22=0.2273, predicted: 0, actual: 3
Mmlu_vi: 23 acc_norm: 5/23=0.2174, predicted: 3, actual: 1
Mmlu_vi: 24 acc_norm: 5/24=0.2083, predicted: 2, actual: 3
Mmlu_vi: 25 acc_norm: 5/25=0.2000, predicted: 1, actual: 3
Mmlu_vi: 26 acc_norm: 5/26=0.1923, predicted: 1, actual: 3
Mmlu_vi: 27 acc_norm: 5/27=0.1852, predicted: 2, actual: 3
Mmlu_vi: 28 acc_norm: 6/28=0.2143, predicted: 3, actual: 3
Mmlu_vi: 29 acc_norm: 6/29=0.2069, predicted: 3, actual: 2
Mmlu_vi: 30 acc_norm: 6/30=0.2000, predicted: 1, actual: 3
Mmlu_vi: 31 acc_norm: 6/31=0.1935, predicted: 0, actual: 1
Mmlu_vi: 32 acc_norm: 6/32=0.1875, predicted: 0, actual: 1
